,Alemania,Argentina,Aruba,Australia,Austria,Bélgica,Bielorrusia,Bolivia,Brasil,Bulgaria,Canadá,Chile,China (R.P.),Colombia,Corea del Sur,Costa Rica,Croacia,Cuba,Dinamarca,Ecuador,EE.UU.,Egipto,El Salvador,Eslovaquia,Eslovenia,España,Filipinas,Finlandia,Francia,Grecia,Guatemala,Honduras,Hong Kong,Hungría,India,Indonesia,Irlanda,Israel,Italia,Japón,Lituania,Malasia,Marruecos,México,Nicaragua,Noruega,Nueva Zelandia,Paises Bajos (Holanda),Panamá,Paraguay,Polonia,Portugal,Pto. Rico,Reino Unido,Rep. Checa,Rep. Dominicana,Rumania,Rusia,Singapur,Sudáfrica,Suecia,Suiza,Tailandia,Taiwán,Trinidad y Tobago,Turquía,Ucrania,Uruguay,Venezuela,Vietnam,Resto del Mundo
2004,35.821,50.272,651,16.534,4.652,8.369,579,66.933,34.416,193,26.665,306.275,4.990,39.733,5.779,5.024,298,1.165,2.927,110.998,278.025,77,1.722,189,820,49.779,652,1.662,44.518,1.386,1.962,884,480,1.074,989,536,5.004,8.512,29.390,29.834,148,285,415,25.138,880,3.698,2.911,16.465,4.250,1.707,2.450,1.712,1.507,49.885,1.976,1.323,220,2.070,366,1.811,6.139,14.688,270,1.231,217,424,390,3.830,19.311,63,4.410
2005,43.661,61.686,463,20.325,5.933,8.984,816,72.910,44.543,326,35.196,344.296,5.295,49.143,6.705,5.820,324,1.634,4.000,101.489,330.358,81,1.920,242,1.109,68.595,717,2.096,52.876,1.728,2.307,1.082,504,1.437,1.359,567,6.582,9.367,33.640,35.522,208,345,73,29.558,945,3.889,3.504,17.529,7.629,1.974,3.678,2.400,1.182,59.218,2.546,2.045,354,2.518,382,2.150,7.072,16.701,306,1.482,248,423,528,5.111,24.231,38,6.661
2006,43.760,69.256,443,22.179,6.144,8.990,758,85.365,45.265,437,41.443,420.801,7.884,54.505,7.699,5.192,483,2.115,4.794,112.100,330.845,94,2.226,566,1.247,75.976,1.076,2.214,54.311,1.504,2.194,1.142,591,1.297,1.470,362,7.285,10.656,33.872,36.827,385,512,117,29.820,912,4.715,4.149,17.849,8.358,2.046,4.661,2.205,842,60.277,3.005,2.318,508,3.039,482,2.265,7.952,16.148,273,1.753,256,596,823,5.290,24.004,76,9.742
2007,50.445,82.722,483,25.617,6.693,12.005,464,87.399,53.558,550,43.992,470.457,7.465,62.811,8.878,6.896,617,2.480,5.031,119.471,381.828,98,2.737,601,1.031,72.180,1.783,2.233,59.781,1.754,2.468,1.336,513,1.812,2.069,775,8.776,11.740,34.622,39.864,484,526,261,31.639,1.090,5.144,4.841,24.262,6.510,2.396,5.256,2.559,1.282,67.067,3.386,2.424,678,4.100,565,2.766,9.185,18.156,376,1.793,335,722,1.039,6.121,27.633,155,7.614
2008,52.173,97.478,260,28.542,6.025,12.740,332,86.619,64.573,740,51.975,452.705,8.043,76.559,9.840,7.630,824,3.285,5.854,128.063,420.608,88,2.822,887,1.495,84.906,2.528,2.510,63.920,2.011,3.033,1.342,379,2.227,3.046,1.143,10.022,12.569,39.825,46.059,742,869,101,30.589,1.062,6.188,5.302,27.031,7.344,2.775,8.169,3.264,683,66.455,3.624,3.122,1.398,5.560,1.014,2.666,9.931,17.752,937,2.406,334,942,1.744,7.962,33.871,536,7.567
2009,51.864,121.172,254,30.947,6.087,11.874,330,93.408,82.764,753,54.595,464.153,9.257,87.225,7.824,7.842,944,5.139,5.903,136.054,426.325,131,2.938,991,1.062,90.714,2.492,2.334,66.071,1.659,2.971,1.375,369,1.439,3.406,1.114,7.587,13.657,40.426,40.018,441,748,136,28.623,1.203,5.701,5.263,25.530,8.956,3.914,7.510,3.344,501,58.629,3.569,4.676,1.252,5.373,661,2.444,8.971,18.169,603,2.057,366,820,1.485,8.648,36.789,228,7.883
2010,53.201,127.062,253,29.659,6.454,11.520,551,86.181,87.674,686,52.955,595.944,9.484,98.642,10.157,8.765,681,4.855,5.760,152.445,417.232,141,2.663,910,881,96.666,2.268,2.451,66.985,1.632,2.797,1.477,615,1.230,3.526,1.432,6.346,12.978,41.831,30.604,487,916,130,38.097,1.117,5.675,5.363,24.795,10.718,3.914,6.140,3.506,506,54.182,3.052,3.719,1.237,5.487,868,2.689,9.337,18.217,647,2.269,460,950,1.389,8.219,38.469,229,8.809
2011,56.197,147.403,286,30.436,6.791,12.383,367,88.042,117.537,917,57.454,741.717,11.896,112.816,12.059,9.302,864,4.172,6.023,160.841,411.935,222,4.948,898,883,105.231,2.628,2.445,72.900,1.476,3.451,1.930,952,1.334,3.471,1.533,5.525,12.809,45.192,43.794,523,1.246,229,46.005,1.269,5.827,5.134,24.486,10.960,4.631,6.268,4.027,557,55.415,3.211,3.234,1.511,7.429,1.348,2.994,9.895,18.832,799,2.489,364,1.547,1.726,10.303,50.185,605,13.694
2012,62.051,158.950,307,35.745,7.498,13.214,781,101.546,126.085,1.064,61.362,806.929,12.180,133.975,13.318,9.319,884,3.755,5.884,176.071,447.218,225,5.746,1.139,797,111.041,2.701,2.628,81.851,1.233,3.486,1.988,1.027,1.369,4.165,1.584,5.655,13.082,46.845,56.526,600,1.155,225,51.229,1.393,5.923,5.616,24.831,12.908,4.756,6.076,4.600,591,56.386,3.568,2.800,1.794,8.469,1.252,2.943,10.664,20.310,1.023,2.991,499,1.580,1.766,11.846,65.930,822,9.853
2013,62.570,155.145,355,36.373,7.813,13.893,512,111.983,143.538,965,62.820,886.485,12.864,134.725,14.000,9.489,848,3.562,5.761,208.358,487.328,209,5.404,1.280,915,122.567,2.597,2.865,81.904,1.288,3.829,2.349,1.455,1.877,4.454,1.891,5.904,11.809,47.624,67.639,844,1.556,241,60.270,1.287,5.913,5.406,25.299,15.121,5.104,7.960,5.249,664,56.783,4.336,2.962,1.975,8.966,1.523,2.672,11.014,21.612,1.316,3.243,602,1.971,1.883,12.509,158.215,943,8.953
